runda,ruch,remaining_lives,is_game_over,score,collected_points
0,0,False,0,"{'point': 0, 'energizer': 0}"
0,0,False,-10,"{'point': 0, 'energizer': 0}"
0,1,False,-20,"{'point': 0, 'energizer': 0}"
0,2,False,-30,"{'point': 0, 'energizer': 0}"
0,3,True,-540,"{'point': 0, 'energizer': 0}"
1,0,False,0,"{'point': 0, 'energizer': 0}"
1,0,False,-10,"{'point': 0, 'energizer': 0}"
1,1,False,-20,"{'point': 0, 'energizer': 0}"
1,2,False,-30,"{'point': 0, 'energizer': 0}"
1,3,True,-540,"{'point': 0, 'energizer': 0}"
2,0,False,0,"{'point': 0, 'energizer': 0}"
2,0,False,-10,"{'point': 0, 'energizer': 0}"
2,1,False,-20,"{'point': 0, 'energizer': 0}"
2,2,False,-30,"{'point': 0, 'energizer': 0}"
2,3,True,-540,"{'point': 0, 'energizer': 0}"
3,0,False,0,"{'point': 0, 'energizer': 0}"
3,0,False,-10,"{'point': 0, 'energizer': 0}"
3,1,False,-20,"{'point': 0, 'energizer': 0}"
3,2,False,-30,"{'point': 0, 'energizer': 0}"
3,3,True,-540,"{'point': 0, 'energizer': 0}"
4,0,False,0,"{'point': 0, 'energizer': 0}"
4,0,False,-10,"{'point': 0, 'energizer': 0}"
4,1,False,-20,"{'point': 0, 'energizer': 0}"
4,2,False,-20,"{'point': 0, 'energizer': 0}"
4,3,False,-20,"{'point': 0, 'energizer': 0}"
4,4,False,-10,"{'point': 1, 'energizer': 0}"
4,5,False,0,"{'point': 2, 'energizer': 0}"
4,6,False,-10,"{'point': 2, 'energizer': 0}"
4,7,False,-20,"{'point': 2, 'energizer': 0}"
4,8,False,-20,"{'point': 2, 'energizer': 0}"
4,9,False,-30,"{'point': 2, 'energizer': 0}"
4,10,True,-540,"{'point': 2, 'energizer': 0}"
5,0,False,0,"{'point': 0, 'energizer': 0}"
5,0,False,-10,"{'point': 0, 'energizer': 0}"
5,1,False,-20,"{'point': 0, 'energizer': 0}"
5,2,False,-30,"{'point': 0, 'energizer': 0}"
5,3,True,-540,"{'point': 0, 'energizer': 0}"
6,0,False,0,"{'point': 0, 'energizer': 0}"
6,0,False,-10,"{'point': 0, 'energizer': 0}"
6,1,False,-20,"{'point': 0, 'energizer': 0}"
6,2,False,-30,"{'point': 0, 'energizer': 0}"
6,3,True,-540,"{'point': 0, 'energizer': 0}"
7,0,False,0,"{'point': 0, 'energizer': 0}"
7,0,False,-10,"{'point': 0, 'energizer': 0}"
7,1,False,-20,"{'point': 0, 'energizer': 0}"
7,2,False,-20,"{'point': 0, 'energizer': 0}"
7,3,False,-10,"{'point': 1, 'energizer': 0}"
7,4,False,-20,"{'point': 1, 'energizer': 0}"
7,5,False,-30,"{'point': 1, 'energizer': 0}"
7,6,False,-40,"{'point': 1, 'energizer': 0}"
7,7,True,-550,"{'point': 1, 'energizer': 0}"
8,0,False,0,"{'point': 0, 'energizer': 0}"
8,0,False,-10,"{'point': 0, 'energizer': 0}"
8,1,False,-20,"{'point': 0, 'energizer': 0}"
8,2,False,-30,"{'point': 0, 'energizer': 0}"
8,3,True,-540,"{'point': 0, 'energizer': 0}"
9,0,False,0,"{'point': 0, 'energizer': 0}"
9,0,False,-10,"{'point': 0, 'energizer': 0}"
9,1,False,-20,"{'point': 0, 'energizer': 0}"
9,2,False,-30,"{'point': 0, 'energizer': 0}"
9,3,True,-540,"{'point': 0, 'energizer': 0}"
10,0,False,0,"{'point': 0, 'energizer': 0}"
10,0,False,-10,"{'point': 0, 'energizer': 0}"
10,1,False,-20,"{'point': 0, 'energizer': 0}"
10,2,False,-20,"{'point': 0, 'energizer': 0}"
10,3,False,-10,"{'point': 1, 'energizer': 0}"
10,4,False,50,"{'point': 7, 'energizer': 0}"
10,5,False,100,"{'point': 12, 'energizer': 0}"
10,6,False,110,"{'point': 13, 'energizer': 0}"
10,7,False,100,"{'point': 13, 'energizer': 0}"
10,8,False,90,"{'point': 13, 'energizer': 0}"
10,9,False,80,"{'point': 13, 'energizer': 0}"
10,10,True,-430,"{'point': 13, 'energizer': 0}"
11,0,False,0,"{'point': 0, 'energizer': 0}"
11,0,False,-10,"{'point': 0, 'energizer': 0}"
11,1,False,-20,"{'point': 0, 'energizer': 0}"
11,2,False,-20,"{'point': 0, 'energizer': 0}"
