runda,ruch,wynik,pozycja_x,pozycja_y,owoc_x,owoc_y,kierunek,czy_koniec,predkosc
0,0,0,15,15,17,11,RIGHT,False,1000
0,0,0,14,15,17,11,LEFT,False,1000
0,1,0,14,16,17,11,DOWN,False,1000
0,2,0,13,16,17,11,LEFT,False,1000
0,3,0,13,15,17,11,UP,False,1000
0,4,0,12,15,17,11,LEFT,False,1000
0,5,0,12,16,17,11,DOWN,False,1000
0,6,0,13,16,17,11,RIGHT,False,1000
0,7,0,13,17,17,11,DOWN,False,1000
0,8,0,13,18,17,11,DOWN,False,1000
0,9,0,14,18,17,11,RIGHT,False,1000
0,10,0,14,17,17,11,UP,False,1000
0,11,0,15,17,17,11,RIGHT,False,1000
0,12,0,16,17,17,11,RIGHT,False,1000
0,13,0,16,18,17,11,DOWN,False,1000
0,14,-10,16,17,17,11,UP,True,1000
1,0,0,15,15,29,26,RIGHT,False,1000
1,0,0,15,16,29,26,DOWN,False,1000
1,1,0,14,16,29,26,LEFT,False,1000
1,2,0,14,17,29,26,DOWN,False,1000
1,3,-10,14,16,29,26,UP,True,1000
2,0,0,15,15,7,21,RIGHT,False,1000
2,0,0,16,15,7,21,RIGHT,False,1000
2,1,0,17,15,7,21,RIGHT,False,1000
2,2,0,18,15,7,21,RIGHT,False,1000
2,3,0,18,14,7,21,UP,False,1000
2,4,0,19,14,7,21,RIGHT,False,1000
2,5,-10,18,14,7,21,LEFT,True,1000
3,0,0,15,15,6,7,RIGHT,False,1000
3,0,0,16,15,6,7,RIGHT,False,1000
3,1,0,16,16,6,7,DOWN,False,1000
3,2,0,17,16,6,7,RIGHT,False,1000
3,3,0,18,16,6,7,RIGHT,False,1000
3,4,0,19,16,6,7,RIGHT,False,1000
3,5,0,19,17,6,7,DOWN,False,1000
3,6,0,19,18,6,7,DOWN,False,1000
3,7,0,20,18,6,7,RIGHT,False,1000
3,8,-10,19,18,6,7,LEFT,True,1000
4,0,0,15,15,19,3,RIGHT,False,1000
4,0,0,15,16,19,3,DOWN,False,1000
4,1,0,15,17,19,3,DOWN,False,1000
4,2,0,15,18,19,3,DOWN,False,1000
4,3,0,14,18,19,3,LEFT,False,1000
4,4,0,14,19,19,3,DOWN,False,1000
4,5,0,13,19,19,3,LEFT,False,1000
4,6,0,13,18,19,3,UP,False,1000
4,7,0,12,18,19,3,LEFT,False,1000
4,8,0,12,19,19,3,DOWN,False,1000
4,9,0,12,20,19,3,DOWN,False,1000
