runda,ruch,wynik,pozycja_x,pozycja_y,owoc_x,owoc_y,kierunek,czy_koniec,predkosc
0,0,0,2,2,0,1,RIGHT,False,2
0,0,0,3,2,0,1,RIGHT,False,2
0,1,0,4,2,0,1,RIGHT,False,2
0,2,-10,5,2,0,1,RIGHT,True,2
1,0,0,2,2,2,1,RIGHT,False,2
1,0,0,3,2,2,1,RIGHT,False,2
1,1,0,4,2,2,1,RIGHT,False,2
1,2,-10,5,2,2,1,RIGHT,True,2
2,0,0,2,2,3,2,RIGHT,False,2
2,0,10,3,2,4,3,RIGHT,False,2.2
2,1,10,4,2,4,3,RIGHT,False,2.2
2,2,0,5,2,4,3,RIGHT,True,2.2
3,0,0,2,2,3,2,RIGHT,False,2
3,0,10,3,2,0,1,RIGHT,False,2.2
3,1,10,4,2,0,1,RIGHT,False,2.2
3,2,0,5,2,0,1,RIGHT,True,2.2
4,0,0,2,2,3,4,RIGHT,False,2
4,0,0,3,2,3,4,RIGHT,False,2
4,1,0,4,2,3,4,RIGHT,False,2
4,2,-10,5,2,3,4,RIGHT,True,2
5,0,0,2,2,1,1,RIGHT,False,2
5,0,0,3,2,1,1,RIGHT,False,2
5,1,0,4,2,1,1,RIGHT,False,2
5,2,-10,5,2,1,1,RIGHT,True,2
6,0,0,2,2,4,1,RIGHT,False,2
6,0,0,3,2,4,1,RIGHT,False,2
6,1,0,4,2,4,1,RIGHT,False,2
6,2,-10,5,2,4,1,RIGHT,True,2
7,0,0,2,2,0,2,RIGHT,False,2
7,0,0,3,2,0,2,RIGHT,False,2
7,1,0,3,1,0,2,UP,False,2
7,2,0,2,1,0,2,LEFT,False,2
7,3,0,1,1,0,2,LEFT,False,2
7,4,0,0,1,0,2,LEFT,False,2
7,5,10,0,2,3,0,DOWN,False,2.2
7,6,10,0,3,3,0,DOWN,False,2.2
7,7,10,1,3,3,0,RIGHT,False,2.2
7,8,10,2,3,3,0,RIGHT,False,2.2
7,9,10,3,3,3,0,RIGHT,False,2.2
7,10,10,3,2,3,0,UP,False,2.2
7,11,10,3,1,3,0,UP,False,2.2
7,12,20,3,0,4,3,UP,False,2.4000000000000004
7,13,20,2,0,4,3,LEFT,False,2.4000000000000004
7,14,20,1,0,4,3,LEFT,False,2.4000000000000004
7,15,20,0,0,4,3,LEFT,False,2.4000000000000004
7,16,20,0,1,4,3,DOWN,False,2.4000000000000004
7,17,20,0,2,4,3,DOWN,False,2.4000000000000004
7,18,20,0,3,4,3,DOWN,False,2.4000000000000004
7,19,20,1,3,4,3,RIGHT,False,2.4000000000000004
7,20,20,2,3,4,3,RIGHT,False,2.4000000000000004
7,21,20,3,3,4,3,RIGHT,False,2.4000000000000004
7,22,30,4,3,1,2,RIGHT,False,2.6000000000000005
7,23,30,4,2,1,2,UP,False,2.6000000000000005
7,24,30,3,2,1,2,LEFT,False,2.6000000000000005
